"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"MLH3" "OTHER" "1" "MLH3" "S. cerevisiae" "MutL Homolog" "2148" "YPL164C" "S000006085" "ORF"
"RFC4" "OTHER" "1" "RFC4" "S. cerevisiae" "Replication Factor C" "972" "YOL094C" "S000005454" "ORF"
"RFA1" "OTHER" "1" "RFA1" "S. cerevisiae" "Replication Factor A" "1866" "YAR007C" "S000000065" "ORF"
"RFC1" "OTHER" "1" "RFC1" "S. cerevisiae" "Replication Factor C" "2586" "YOR217W" "S000005743" "ORF"
"RNH201" "OTHER" "1" "RNH201" "S. cerevisiae" "RNase H" "924" "YNL072W" "S000005016" "ORF"
"MSH1" "OTHER" "1" "MSH1" "S. cerevisiae" "MutS Homolog" "2880" "YHR120W" "S000001162" "ORF"
"POL3" "OTHER" "1" "POL3" "S. cerevisiae" "POLymerase" "3294" "YDL102W" "S000002260" "ORF"
"RFC3" "OTHER" "1" "RFC3" "S. cerevisiae" "Replication Factor C" "1023" "YNL290W" "S000005234" "ORF"
"MLH1" "OTHER" "1" "MLH1" "S. cerevisiae" "MutL Homolog" "2310" "YMR167W" "S000004777" "ORF"
"NHP6A" "OTHER" "1" "NHP6A" "S. cerevisiae" "Non-Histone Protein" "282" "YPR052C" "S000006256" "ORF"
"RFC5" "OTHER" "1" "RFC5" "S. cerevisiae" "Replication Factor C" "1065" "YBR087W" "S000000291" "ORF"
"MSH6" "OTHER" "1" "MSH6" "S. cerevisiae" "MutS Homolog" "3729" "YDR097C" "S000002504" "ORF"
"DPB11" "OTHER" "1" "DPB11" "S. cerevisiae" "DNA Polymerase B (II)" "2295" "YJL090C" "S000003626" "ORF"
"MSH4" "OTHER" "1" "MSH4" "S. cerevisiae" "MutS Homolog" "2637" "YFL003C" "S000001891" "ORF"
"CDC1" "OTHER" "1" "CDC1" "S. cerevisiae" "Cell Division Cycle" "1476" "YDR182W" "S000002590" "ORF"
"PMS1" "OTHER" "1" "PMS1" "S. cerevisiae" "PostMeiotic Segregation" "2622" "YNL082W" "S000005026" "ORF"
"PMS2" "OTHER" "1" "MLH1" "S. cerevisiae" "MutL Homolog" "2310" "YMR167W" "S000004777" "ORF"
"DIN7" "OTHER" "1" "DIN7" "S. cerevisiae" "DNA Damage INducible" "1293" "YDR263C" "S000002671" "ORF"
"HNT3" "OTHER" "1" "HNT3" "S. cerevisiae" "Histidine triad NucleoTide-binding" "654" "YOR258W" "S000005784" "ORF"
"MLH2" "OTHER" "1" "MLH2" "S. cerevisiae" "MutL Homolog" "2088" "YLR035C" "S000004025" "ORF"
"HSM3" "OTHER" "1" "HSM3" "S. cerevisiae" "enHanced Spontaneous Mutability" "1443" "YBR272C" "S000000476" "ORF"
"MSH2" "OTHER" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"RPA3" "OTHER" "1" "RFA3" "S. cerevisiae" "Replication Factor A" "369" "YJL173C" "S000003709" "ORF"
"RFC5" "OTHER" "1" "RFC5" "S. cerevisiae" "Replication Factor C" "1065" "YBR087W" "S000000291" "ORF"
"RFA2" "OTHER" "1" "RFA2" "S. cerevisiae" "Replication Factor A" "930" "YNL312W" "S000005256" "ORF"
"RFC3" "OTHER" "1" "RFC3" "S. cerevisiae" "Replication Factor C" "1023" "YNL290W" "S000005234" "ORF"
"POL31" "OTHER" "1" "POL31" "S. cerevisiae" "POLymerase" "1464" "YJR006W" "S000003766" "ORF"
"CDC17" "OTHER" "1" "POL1" "S. cerevisiae" "POLymerase" "4407" "YNL102W" "S000005046" "ORF"
"MSH3" "OTHER" "1" "MSH3" "S. cerevisiae" "MutS Homolog" "3057" "YCR092C" "S000000688" "ORF"
"SSB1" "OTHER" "1" "SSB1" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YDL229W" "S000002388" "ORF"
"RAD4" "OTHER" "1" "RAD4" "S. cerevisiae" "RADiation sensitive" "2265" "YER162C" "S000000964" "ORF"
"POL30" "OTHER" "1" "POL30" "S. cerevisiae" "POLymerase" "777" "YBR088C" "S000000292" "ORF"
"NHP6A" "OTHER" "1" "NHP6A" "S. cerevisiae" "Non-Histone Protein" "282" "YPR052C" "S000006256" "ORF"
"CDC27" "OTHER" "1" "CDC27" "S. cerevisiae" "Cell Division Cycle" "2277" "YBL084C" "S000000180" "ORF"
"MSH1" "OTHER" "1" "MSH1" "S. cerevisiae" "MutS Homolog" "2880" "YHR120W" "S000001162" "ORF"
"RAD34" "OTHER" "1" "RAD34" "S. cerevisiae" "Homologous to RAD4" "2079" "YDR314C" "S000002722" "ORF"
"CDC6" "OTHER" "1" "CDC6" "S. cerevisiae" "Cell Division Cycle" "1542" "YJL194W" "S000003730" "ORF"
"UVE1" "UNRESOLVED" ""
"POLD3" "UNRESOLVED" ""
"MYH1" "UNRESOLVED" ""
"POLD4" "UNRESOLVED" ""
"RHP41" "UNRESOLVED" ""
"PCN1" "UNRESOLVED" ""
"POLD1" "UNRESOLVED" ""
"ADL1" "UNRESOLVED" ""
"POLD2" "UNRESOLVED" ""
"SSB3" "UNRESOLVED" ""
"CDM1" "UNRESOLVED" ""
"RHP42" "UNRESOLVED" ""
